B     N1      N2         N3             N4
1    1816   1451433   446186613     552359897
2    2288   2305850   892371789     1105319832
3    2619   3022708   1338554381    1658420051
4    2883   3662773   1784740032    2211594071
5    3106   4251139   2230917514    2764828000
6    3300   4801163   2677128667    3318066629
7    3475   5321470   3123320579    3871354235
8    3633   5817556   3569522288    4424656282
9    3778   6293201   4015712155    4977990625
10   3913   6751629   4461907459    5531336758
11   4040   7195117   4908109379    6084691223
12   4159   7625308   5354324211    6638046081
13   4271   8043637   5800524169    7191427682
14   4378   8451444   6246745411    7744798526
15   4480   8849600   6692919707    8298225972
16   4577   9238954   7139115585    8851640643
17   4671   9620463   7585316341    9405058284
18   4761   9994496   8031509522    9958490980
19   4847   10361548  8477729794    10511903570
20   4931   10722454  8923960648    11065311726
21   5012   11077314  9370195643    11618721790
22   5090   11426471  9816423186    12172145012
23   5166   11770443  10262650165   12725573985
24   5240   12109499  10708861927   13279023093
25   5312   12443900  11155100736   13832449811
26   5382   12773820  11601314350   14385906207
27   5450   13099528  12047546214   14939348567
28   5516   13421136  12493762218   15492810889
29   5581   13739108  12939981218   16046273852
30   5645   14053525  13386220456   16599720133
31   5707   14364339  13832441607   17153188106
32   5767   14671671  14278651078   17706671243
33   5827   14976174  14724888917   18260128841
34   5885   15277361  15171100697   18813615816
35   5942   15575632  15617322681   19367095504
36   5999   15871123  16063531674   19920590963
37   6054   16164040  16509743411   20474086254
38   6108   16454234  16955977213   21027562204
39   6161   16741875  17402189913   21581061810
40   6213   17027016  17848425479   22134541051
41   6264   17309772  18294639527   22688044196
42   6315   17590445  18740891322   23241511677
43   6365   17868764  19187110327   23795014303
44   6414   18144933  19633340915   24348507497
45   6462   18419001  20079554424   24902019872
46   6509   18690960  20525789404   25455512886
47   6556   18961104  20972009118   26009022981
48   6602   19229223  21418236756   26562527178
49   6648   19495679  21864471050   27116026382
50   6693   19760224  22310683285   27669549557
51   6737   20022921  22756905709   28223064392
52   6781   20284104  23203168080   28776540794
53   6824   20543399  23649392080   29330057456
54   6867   20801282  24095619071   29883572539
55   6909   21057421  24541840950   30437094479
56   6951   21312032  24988055961   30990624815
57   6992   21565190  25434303987   31544123590
58   7032   21816694  25880536294   32097639739
59   7073   22067032  26326775058   32651150596
60   7112   22315770  26773004334   33204672543
61   7152   22563280  27219212700   33758216627
62   7190   22809167  27665422578   34311760824
63   7229   23054101  28111675918   34865262511
64   7267   23297553  28557902380   35418792559
65   7305   23539814  29004135861   35972316779
66   7342   23780769  29450382815   36525828833
67   7379   24020532  29896592185   37079379663
68   7415   24258921  30342788546   37632944877
69   7452   24496449  30789023330   38186472528
70   7487   24732584  31235261663   38739998025
71   7523   24967879  31681510857   39293513500
72   7558   25201870  32127732615   39847057716
73   7593   25434884  32573969800   40400587482
74   7627   25666614  33020208986   40954116532
75   7662   25897672  33466443398   41507651027
76   7696   26127331  33912676931   42061187801
77   7729   26356266  34358918394   42614717370
78   7762   26584011  34805146449   43168261537
79   7795   26810854  35251364911   43721816199
80   7828   27036861  35697627267   44275327803
81   7861   27261966  36143849426   44828880506
82   7893   27485963  36590079370   45382426533
83   7925   27709127  37036312219   45935970488
84   7957   27931398  37482569792   46489490612
85   7988   28152729  37928811031   47043028011
86   8019   28373157  38375064402   47596554181
87   8050   28592826  38821284627   48150114256
88   8081   28811730  39267546008   48703633940
89   8111   29029536  39713773516   49257188596
90   8142   29246942  40160005300   49810739375
91   8172   29463312  40606251636   50364276639
92   8202   29678878  41052505551   50917807128
93   8231   29893582  41498744975   51471352971
94   8261   30107753  41944998758   52024884987
95   8290   30321015  42391260028   52578410426
96   8319   30533540  42837524856   53131933044
97   8348   30745336  43283761289   53685484786
98   8376   30956286  43729990736   54239044361
99   8405   31166722  44176223777   54792600855
100  8433   31376381  44622459542   55346155403
101  8461   31585336  45068686667   55899719295
